"","x"
"1","RT @livenewscloud: Bill Maher on #Trump's cabinet picks: He's 'fucking with people' #NeverMyPresident

https://t.co/ZEDHunKGfZ"
"2","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"3","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"4","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"5","@JimmyK_23 @SewerRatt55 @MarkDice I'm with you on that one. #Trump family needs to fly only on private planes from now on."
"6","#Trump supporters gonna be broke, homeless, unemployed, uninsured, with no rights at all, saying ""least we got rid of those coloreds"" #MAGA"
"7","RT @JakosawiCards: #LastMinuteGifts2016 All #trump wants for #Christmas are #nukes #putin https://t.co/XzSUiUPI1v"
"8","RT @aerdt: Young #Sanders Campaign Aides Plan Anti-#Trump Permanent Protest Base in Washington | By Steven Rosenfeld  
https://t.co/xo1fDUB…"
"9","RT @itsjoeybee: I don't feel sorry for Ivanka #Trump one bit. She knew by putting herself in a coach seat on a commercial airline... https:…"
"10","I didn't vote for nor do I like #trump but we don't do this here &amp; it must stop. #IvankaTrump https://t.co/43kPaMVlGe"
"11","RT @livenewscloud: #AMJoy #Maddow fans... watch Bill Maher talking about #Trump's picks. #RESISTANCE https://t.co/e8kKl82NFG"
"12","It turns out that @HillaryClinton's campaign was not only trying to rig the #Election2016, the #Recount2016. but al… https://t.co/isrWqsJILI"
"13","JetBlue Kicks Passengers Off Flight After #Ivanka #Trump Incident | Hollywood Reporter | the man is a hero  https://t.co/2r7v9sqW8X"
"14","@cnnbrk shame on you america! Shame on you #trump"
"15","RT @TheTrumpLady: MICHAEL, IT WILL BE SO MUCH FUN...
Watching you GO CRAZY in Trumpland! 
#TRUMP will ""Make America Strong Again"" 
for the…"
"16","RT @DavidMoralee: How brave! How proud! Tolerant Liberal Professor #Matthewlasner celebrates harassing #Trump family. I hope @Hunter_Colleg…"
"17","The phone's tapped anyway #politics #election #president #trump #hillary"
"18","RT @Hotpage_News: #Trump: US SHOULD VETO UN resolution on Israeli settlements - TIMES OF ISRAEL     https://t.co/noF9axsOdi"
"19","I knew #Gingrich was lying as he is part of the establishment.There is a reason #Trump didn't put that cuck in the… https://t.co/dX5q4f79um"
"20","RT @stapf: .@realDonaldTrump That ticking sound you hear is the Doomsday Clock. @bulletinatomic #nuclear #trump #apocalypse https://t.co/qC…"
"21","Education is the main thing that #POTUS #Trump needs #BritainFirst #Bluehand #NewBluehand https://t.co/R7Y4lcyl8l"
"22","On the Ben Bernanke Interchange in South Carolina next to a car w. ""End the Fed"", InfoWars, and #Trump stickers. Driver looks grumpy!"
"23","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"24","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"25","@loosebricks @NWInfidel @Coondawg68 
White girl. It is you and your smelly, mediocre white female friends who are gonna be forgotten. #Trump"
"26","RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"27","What has Donald Trump turned this country into? 
#Trump https://t.co/zyunSKRV3k"
"28","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"29","Hate filled orange #POTUS #Trump doesn't know beauty #NewBluehand #Bluehand #USA #DonaldTrump https://t.co/yzydWuhX0x"
"30","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"31","Like #tRump...Snowden is still in contact with Russian intelligence?!?  House report charges https://t.co/fWL7pAl4SP via @YahooNews"
"32","Post-#Election2016 Citizen Research @pewresearch
https://t.co/IzUECwJ0iy #medicare #SocialSecurity #ageing #racial… https://t.co/0fy7fi3mQm"
"33","It's simple, Be quick and vigilant to catch the #Trump! <U+2192> https://t.co/ekbioSPkhP #TrumpFBIcodeName https://t.co/CKqYV9nhDz"
"34","As if #Trump trolls care for kids.They voted for a child rapist.  #MattLasner does not molest kids or try to peep on naked teens #DontheCon"
"35","Peter Thiel’s data-mining firm could help #Trump vet and deport #immigrants https://t.co/uJ21jkcPHK #tcot"
"36","Millions of people not watching the crowning of @realDonaldTrump . 

How that would burn him <ed><U+00A0><U+00BD><ed><U+00B2><U+0081><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><U+200D><U+2642><U+FE0F>
#Protest #Trump"
"37","Think that #POTUS #Trump needs to open his mind wide! #Bluehand #NewBluehand https://t.co/uK82PQ7LX0"
"38","RT @JxhnBinder: While the mainstream media is claiming Ivanka #Trump was ""confronted"" on Jet Blue flight, this is #MattLasner openly callin…"
"39","RT @livenewscloud: .@KeithOlbermann: We Can Still Delegitimize #Trump By Not Calling Him ""President Trump"" #NeverMyPresident

https://t.co/…"
"40","The sooner #POTUS #Trump opens his eyes to #Climate change, the better #Bluehand #NewBluehand #ClimateChange #Globa… https://t.co/J18LLWSMXA"
"41","#POTUS #Trump doesn't even love those within his country #Bluehand #NewBluehand https://t.co/0zK8rIGdgc"
"42","RT @JuliaDavisNews: Donald #Trump and Vladimir #Putin agree: Let’s revive the nuclear arms race.
Is there anything they don't agree on? 
ht…"
"43","RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"44","#Trump - What Donald Trump Doesn't Know About Black People https://t.co/vEZF2HWRgR #tcot"
"45","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"46","With #Trump as #POTUS, people need to be cautious re this kind of thing happening https://t.co/2oUYa7xs4z"
"47","RT @DimitriousGart2: @thehill and so it starts. The arm race, good for Putin, good for #Trump. Its all about the money honey"
"48","They're no ZZ Top but I guess they'll do. 
#inauguration #Trump #Mormons
https://t.co/45ELL2wPOQ"
"49","All because #POTUS #Trump is all about judgement #Bluehand #NewBluehand https://t.co/31KynOjwdg"
"50","RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"51","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"52","RT @Hotpage_News: #Trump: US SHOULD VETO UN resolution on Israeli settlements - TIMES OF ISRAEL     https://t.co/noF9axsOdi"
"53","RT @manny_ottawa: #Election2016 in this tweet
1. Left intolerable(hate)
2. Trump in coach
3. Media #FakeNews “Talking”
4. Why Trump won htt…"
"54","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"55","We have a president who doesn't have a clue. I would say he's incompetent, but I don't want to do that, because it's not nice. #Trump #IWin"
"56","RT @carol_varham: MEXICO URGES ILLEGAL ALIEN INVADERS TO APPLY FOR CITIZENSHIP BEFORE #TRUMP TAKES OFFICE #o4a #news https://t.co/7L56q0s8K…"
"57","The red of #Republicans and blue of #Democrats may soon raise a new &amp; viable competitor as we enter the #Trump era &gt; https://t.co/9eHn1E8tZ9"
"58","RT @ForQ2: “@realDonaldTrump: An interesting cartoon that is circulating. http://t.co/Yoq49PS5v3” Don't worry #trump, you'll never be elect…"
"59","#Obama just stopped #Trump 's #Muslim registry in it's tracks https://t.co/opuMxAfM2l #TheResistance #Resist"
"60","@thehill @HuffPostPol @politico_45 #trump calls BOOBOO Newt.Demand's he apologize and Kiss His Ring.Trump smart &amp; knows Gingrich is a LOSER."
"61","From the feminist defending Ivanka #Trump being harassed, who in 2013 complained about being harassed... https://t.co/eDHvl4oywa"
"62","RT @RT_CNN: #news #trump #hillary #election #syria Holiday shopper: Go back to wherever you come from, lady https://t.co/RqRFKkAtww https:/…"
"63","RT @TrumpSuperPAC: U.S. Constitution doesn't guarantee accepting everyone into the U.S. It's a privilege that is offered. #MAGA #TRUMP http…"
"64","RT @BeSafe2017: Dear 2017, 

Thank God your here!

Nothing can be worse than the last 8 years!

#MAGA
#AmericaFirst
#Trump
#HesMyPresident…"
"65","RT @RCDefense: Memo: #Russia Missing from #Trump<U+0099>'s Top Defense Priorities | @paulmcleary @John_Hudson @dandeluce @ForeignPolicy https://t.…"
"66","There should be outrage in America #Trump High school football player pleads guilty to lesser charge in Rape Case https://t.co/9ooVetPyVf"
"67","RT @KitDaniels1776: Prince Charles Ignores Family’s Pro-Nazi Past When Comparing #Trump to Hitler https://t.co/TFg93jJhvx @DRUDGE #altright…"
"68","RT @DonaldJTrumpJr: Not bad for the first few swings since summer. Donnie hitting the long ball @trumpgolf #trump #golf #glorida https://t.…"
"69","Stuck for last minute Xmas gifts? Well here's a possible solution - a gold plated diamond encrusted #Trump #IPhone… https://t.co/BYW0nhCDpZ"
"70","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"71","RT @funder: #Trump must divest all his businesses-Congressman Adam Schiff explains why &amp; the Constitutions Emoluments Clause #TrumpLeaks #a…"
"72","RT @drudgeheadlines: #TRUMP #FLEXES #NUKE STRENGTH https://t.co/xszKEM78Uj"
"73","RT @TheRebelTV: WATCH: Donald #Trump's best comebacks and funniest moments https://t.co/vHsurnomkW | #MAGA #tcot https://t.co/RJPzbunIvX"
"74","RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"75","RT @dabeard: Fear rises at @StateDept after #Trump team demands info on programs designed to help women https://t.co/SFspZqlZYv via @TracyK…"
"76","RT @BeSafe2017: Dear 2017, 

Thank God your here!

Nothing can be worse than the last 8 years!

#MAGA
#AmericaFirst
#Trump
#HesMyPresident…"
"77","RT @HFensterman: Will #Trump Make Practicing Medicine Great Again? https://t.co/QRKIrxwaQ1"
"78","RT @Sputnik_Not: #Putin and #Trump agree the best way to support nuclear non-proliferation efforts is to get more #nuclear weapons https://…"
"79","Okay, so an attorney and his husband were booted from a Jet Blue plane for harassing Ivanka Trump and her family. Adam Saleh part2. #Trump"
"80","RT @Professing_Prof: Is there a place where Progressive Organizations are building up to fight #Trump have job openings/listings? That migh…"
"81","RT @topschtick: @SMShow @frangeladuo #Trump &amp; #Putin calling for more nukes. Remember, citizens, give the guy a chance. How do we stop this…"
"82","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"83","RT .immigrant4trump: WATCH The moment in history! fish taco surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"84","RT @RealCranky: Will you STOP the #racist, #sexist, #homophobe etc labeling. 
I support #Trump and I am NONE of the above. 
#60Minutes #WTF…"
"85","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"86","RT @funder: RT if you think a federal investigation needs to be done IMMEDIATELY on these #Trump bribes #TrumpLeaks

#msnbc #cnn #amjoy #th…"
"87","RT @rafshmatko: Donald Trump
President of the United States #Trump #DonaldTrump https://t.co/g6ZBMnDAE4"
"88","WTFFF?! #Misogynist #Trump team asked State Dept 4 info on #womensrights progs, sparking fears of another witch hunt https://t.co/Rz8G5dAmV4"
"89","Quite interesting piece about the #Trump-#Putin bromance. https://t.co/ofcuPoL78u"
"90","#Trump #Nuclearcapability The more there is the easier to nick. Today's deterrent is already over the top. No one wants nuclear war. Moron."
"91","@PaulERondeau @thehill @KellyannePolls I am way more #corrupt than Hillary. Glad you're excited about the #Trump #kleptocracy! #MAGA #MAGA3X"
"92","#Trump Sanders has no pride.Everybody knows Sanders was a ""cheap puppet"" of Clinton's campaign who betrayed and sol… https://t.co/qrGlZbtLLK"
"93","There might be a YUGE concert being organized to compete with Trump's #Inauguration https://t.co/LifUQzGGo3 #WeThePeople #UniteBlue #Trump"
"94","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"95","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"96","RT @BeSafe2017: Dear 2017, 

Thank God your here!

Nothing can be worse than the last 8 years!

#MAGA
#AmericaFirst
#Trump
#HesMyPresident…"
"97","RT @dabeard: Fear rises at @StateDept after #Trump team demands info on programs designed to help women https://t.co/SFspZqlZYv via @TracyK…"
"98","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"99","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"100","RT @solaranoir: Can someone explain to me hw #Trump is getting away w all of this? He's ILLEGITIMATE for so many reasons, he's a CROOK! #Tr…"
"101","Footage shows Berlin terror attack suspect 'visiting mosque' hours after lorry smashed into Christmas…… https://t.co/btf6xMnV7l"
"102","RT @T_I_T_A_N_I_UM: @transition2017 @KellyannePolls @JasonMillerinDC @PutinRF_Eng @realDonaldTrump 

#Trump and #Russia to defeat ISIS? 

<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8>…"
"103","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"104","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"105","RT @GillesKLEIN: «  Sir, how many divisions do you want to deploy in this Twitter war ? » (dessin Margulies) #Trump https://t.co/uLBjpk0sq7"
"106","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"107","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"108","Syrian evacuees fleeing Aleppo could suffer same fate in refuge city, UN envoy warns https://t.co/hAV69E27yE… https://t.co/O5wsQtcHeg"
"109","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"110","@thehill and so it starts. The arm race, good for Putin, good for #Trump. Its all about the money honey"
"111","MSM = Main Stream Meltdown™
#draintheswamp
#deplorables
#trump2016
#wikileaks
#teaparty
#hannity
#pence
#trump… https://t.co/Mocwwx4ZW6"
"112","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"113","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"114","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"115","RT @Professing_Prof: Is there a place where Progressive Organizations are building up to fight #Trump have job openings/listings? That migh…"
"116","Undercover: #Chicago #Democratic Election #Judges Pretend to be #Republican ... https://t.co/h1Gcdox09i via @YouTube"
"117","RT @1stAirDel_USMCR: Evan McMullin Takes a Jab at Newt Gingrich’s Apparent “Drain the Swamp” Misspeak https://t.co/34xO14sA7M #Trump #TCOT"
"118","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"119","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"120","RT @pkni: #Trump now tweeting about more nukes, not good, someone so thin-skinned with the nuclear codes! https://t.co/ZV4DAS6mSl"
"121","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"122","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"123","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"124","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"125","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"126","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"127","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"128","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"129","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"130","Holiday selling for your products  https://t.co/1xX1T9St98 #holiday #marketing #networks #fallan #election #trump… https://t.co/iP5zteM2Lg"
"131","#Twitter is going in on #Trump https://t.co/Cfn9oUERRo"
"132","RT @rafshmatko: I think that Mr. Trump will go down in history as a great person and a great reformer! #DonaldTrump #Trump #USA #art https:…"
"133","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"134","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"135","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"136","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"137","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"138","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"139","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"140","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"141","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"142","RT @Hotpage_News: SURPRISE! Electoral college 'rebels' who wanted to stop #Trump WERE IN TOUCH WITH #CLINTON CAMPAIGN - DAILY MAIL  https:/…"
"143","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"144","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
