"","score","text"
"1",-1,"RT @livenewscloud: Bill Maher on #Trump's cabinet picks: He's 'fucking with people' #NeverMyPresident

https://t.co/ZEDHunKGfZ"
"2",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"3",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"4",-1,"RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"5",1,"@JimmyK_23 @SewerRatt55 @MarkDice I'm with you on that one. #Trump family needs to fly only on private planes from now on."
"6",-2,"#Trump supporters gonna be broke, homeless, unemployed, uninsured, with no rights at all, saying ""least we got rid of those coloreds"" #MAGA"
"7",1,"RT @JakosawiCards: #LastMinuteGifts2016 All #trump wants for #Christmas are #nukes #putin https://t.co/XzSUiUPI1v"
"8",-1,"RT @aerdt: Young #Sanders Campaign Aides Plan Anti-#Trump Permanent Protest Base in Washington | By Steven Rosenfeld  
https://t.co/xo1fDUB…"
"9",0,"RT @itsjoeybee: I don't feel sorry for Ivanka #Trump one bit. She knew by putting herself in a coach seat on a commercial airline... https:…"
"10",2,"I didn't vote for nor do I like #trump but we don't do this here &amp; it must stop. #IvankaTrump https://t.co/43kPaMVlGe"
"11",0,"RT @livenewscloud: #AMJoy #Maddow fans... watch Bill Maher talking about #Trump's picks. #RESISTANCE https://t.co/e8kKl82NFG"
"12",0,"It turns out that @HillaryClinton's campaign was not only trying to rig the #Election2016, the #Recount2016. but al… https://t.co/isrWqsJILI"
"13",2,"JetBlue Kicks Passengers Off Flight After #Ivanka #Trump Incident | Hollywood Reporter | the man is a hero  https://t.co/2r7v9sqW8X"
"14",-1,"@cnnbrk shame on you america! Shame on you #trump"
"15",1,"RT @TheTrumpLady: MICHAEL, IT WILL BE SO MUCH FUN...
Watching you GO CRAZY in Trumpland! 
#TRUMP will ""Make America Strong Again"" 
for the…"
"16",3,"RT @DavidMoralee: How brave! How proud! Tolerant Liberal Professor #Matthewlasner celebrates harassing #Trump family. I hope @Hunter_Colleg…"
"17",1,"The phone's tapped anyway #politics #election #president #trump #hillary"
"18",1,"RT @Hotpage_News: #Trump: US SHOULD VETO UN resolution on Israeli settlements - TIMES OF ISRAEL     https://t.co/noF9axsOdi"
"19",0,"I knew #Gingrich was lying as he is part of the establishment.There is a reason #Trump didn't put that cuck in the… https://t.co/dX5q4f79um"
"20",-1,"RT @stapf: .@realDonaldTrump That ticking sound you hear is the Doomsday Clock. @bulletinatomic #nuclear #trump #apocalypse https://t.co/qC…"
"21",1,"Education is the main thing that #POTUS #Trump needs #BritainFirst #Bluehand #NewBluehand https://t.co/R7Y4lcyl8l"
"22",0,"On the Ben Bernanke Interchange in South Carolina next to a car w. ""End the Fed"", InfoWars, and #Trump stickers. Driver looks grumpy!"
"23",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"24",-1,"RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"25",-1,"@loosebricks @NWInfidel @Coondawg68 
White girl. It is you and your smelly, mediocre white female friends who are gonna be forgotten. #Trump"
"26",1,"RT @funder: @RepAdamSchiff this is the file of ACTIVE #Trump companies in 30+ countries!

RT to show the congressman WE HAVE THE PROOF HERE…"
"27",2,"What has Donald Trump turned this country into? 
#Trump https://t.co/zyunSKRV3k"
